"mc","theta","sensit","resCri","f","h","r1_c","r1_m","r0_c","r0_m","goodPar"
6,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,195,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
48,195,0.22214758,-2.824125679,0.996666667,0.998333333,300,299,0,1,"bad"
54,195,0.71883669,-2.575781124,0.986666667,0.998333333,300,296,0,4,"bad"
60,195,1.184513398,-2.34294277,0.96,0.998333333,300,288,0,12,"bad"
66,195,1.407819951,-2.231289493,0.936666667,0.998333333,300,281,0,19,"bad"
72,195,1.099819754,-1.776437997,0.89,0.99,297,267,3,33,"bad"
78,195,1.237798347,-1.509146061,0.813333333,0.983333333,295,244,5,56,"bad"
84,195,1.000545277,-1.083114146,0.72,0.943333333,283,216,17,84,"bad"
90,195,0.631915739,-0.692294478,0.646666667,0.843333333,253,194,47,106,"bad"
96,195,0.477101199,-0.364211946,0.55,0.726666667,218,165,82,135,"bad"
102,195,0.192554622,-0.029384036,0.473333333,0.55,165,142,135,158,"bad"
108,195,0.026032936,0.275001044,0.386666667,0.396666667,119,116,181,184,"bad"
114,195,-0.037622289,0.486509944,0.32,0.306666667,92,96,208,204,"bad"
120,195,-0.020419682,0.633135564,0.266666667,0.26,78,80,222,220,"bad"
6,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
12,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
18,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
24,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
30,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
36,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
42,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
48,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
54,210,0,-2.935199469,0.998333333,0.998333333,300,300,0,0,"bad"
60,210,0.46045982,-2.704969559,0.993333333,0.998333333,300,298,0,2,"bad"
