mc,theta,sensit,resCri,f,h,r1_c,r1_m,r0_c,r0_m
6,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
72,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
78,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
84,285,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
90,285,-0.22214758,-2.824125679,0.998333333,0.996666667,299,300,1,0
96,285,-0.496689109,-2.464707334,0.996666667,0.986666667,296,299,4,1
102,285,-0.613098472,-2.019798638,0.99,0.956666667,287,297,13,3
108,285,-0.2618595,-1.513923877,0.95,0.916666667,275,285,25,15
114,285,-0.186133067,-1.188485032,0.9,0.863333333,259,270,41,30
120,285,-0.130356052,-0.943074321,0.843333333,0.81,243,253,57,47
6,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
12,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
18,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
24,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
30,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
36,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
42,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
48,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
54,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
60,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
66,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
72,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
78,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
84,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
90,300,0,-2.935199469,0.998333333,0.998333333,300,300,0,0
96,300,-0.238312239,-2.593895769,0.996666667,0.993333333,298,299,2,1
102,300,-0.420990739,-2.26424428,0.993333333,0.98,294,298,6,2
108,300,-0.405926207,-1.786349888,0.976666667,0.943333333,283,293,17,7
114,300,-0.25399232,-1.427777435,0.94,0.903333333,271,282,29,18
120,300,-0.162020623,-1.239494092,0.906666667,0.876666667,263,272,37,28
